offset,PCs In Normal Form,NEXTPc,Scale Degrees,file,Composer,Piece,Time Signature,Key,Mode,NEXTChord,PC1,SetClass,SetClassBigram,SDBigram
33,"[7, 11, 2]","[0, 4, 7]","[7, 11, 2]",beet.rondo,beet,rondo,"[4, 1, 0.5]",0,Major,"[0, 4, 7]",7,"[0, 4, 7]","[0, 4, 7]_5_[0, 4, 7]","[7, 11, 2]_[0, 4, 7]"
34,"[0, 4, 7]",x,"[0, 4, 7]",beet.rondo,beet,rondo,"[4, 1, 0.5]",0,Major,x,0,"[0, 4, 7]","[0, 4, 7]_0_[0, 4, 7]","[0, 4, 7]_[0, 4, 7]"
0,"[0, 4, 7]","[7, 11, 2]","[0, 4, 7]",beet.son10-1.II,beet,-1.II,"[4, 1, 0.5]",0,Major,"[7, 11, 2]",0,"[0, 4, 7]","[0, 4, 7]_7_[0, 4, 7]","[0, 4, 7]_[7, 11, 2]"
1,"[7, 11, 2]","[0, 4, 7]","[7, 11, 2]",beet.son10-1.II,beet,-1.II,"[4, 1, 0.5]",0,Major,"[0, 4, 7]",7,"[0, 4, 7]","[0, 4, 7]_5_[0, 4, 7]","[7, 11, 2]_[0, 4, 7]"
2,"[0, 4, 7]","[7, 11, 2]","[0, 4, 7]",beet.son10-1.II,beet,-1.II,"[4, 1, 0.5]",0,Major,"[7, 11, 2]",0,"[0, 4, 7]","[0, 4, 7]_7_[0, 4, 7]","[0, 4, 7]_[7, 11, 2]"
3,"[7, 11, 2]","[0, 4, 7]","[7, 11, 2]",beet.son10-1.II,beet,-1.II,"[4, 1, 0.5]",0,Major,"[0, 4, 7]",7,"[0, 4, 7]","[0, 4, 7]_5_[0, 4, 7]","[7, 11, 2]_[0, 4, 7]"
4,"[0, 4, 7]","[7, 11, 2]","[0, 4, 7]",beet.son10-1.II,beet,-1.II,"[4, 1, 0.5]",0,Major,"[7, 11, 2]",0,"[0, 4, 7]","[0, 4, 7]_7_[0, 4, 7]","[0, 4, 7]_[7, 11, 2]"
5,"[7, 11, 2]","[0, 4, 7]","[7, 11, 2]",beet.son10-1.II,beet,-1.II,"[4, 1, 0.5]",0,Major,"[0, 4, 7]",7,"[0, 4, 7]","[0, 4, 7]_5_[0, 4, 7]","[7, 11, 2]_[0, 4, 7]"
6,"[0, 4, 7]","[5, 9, 0]","[0, 4, 7]",beet.son10-1.II,beet,-1.II,"[4, 1, 0.5]",0,Major,"[5, 9, 0]",0,"[0, 4, 7]","[0, 4, 7]_5_[0, 4, 7]","[0, 4, 7]_[5, 9, 0]"
7,"[5, 9, 0]","[7, 11, 2]","[5, 9, 0]",beet.son10-1.II,beet,-1.II,"[4, 1, 0.5]",0,Major,"[7, 11, 2]",5,"[0, 4, 7]","[0, 4, 7]_2_[0, 4, 7]","[5, 9, 0]_[7, 11, 2]"
8,"[7, 11, 2]","[0, 4, 7]","[7, 11, 2]",beet.son10-1.II,beet,-1.II,"[4, 1, 0.5]",0,Major,"[0, 4, 7]",7,"[0, 4, 7]","[0, 4, 7]_5_[0, 4, 7]","[7, 11, 2]_[0, 4, 7]"
9,"[0, 4, 7]","[7, 11, 2]","[0, 4, 7]",beet.son10-1.II,beet,-1.II,"[4, 1, 0.5]",0,Major,"[7, 11, 2]",0,"[0, 4, 7]","[0, 4, 7]_7_[0, 4, 7]","[0, 4, 7]_[7, 11, 2]"
10,"[7, 11, 2]",x,"[7, 11, 2]",beet.son10-1.II,beet,-1.II,"[4, 1, 0.5]",0,Major,x,7,"[0, 4, 7]","[0, 4, 7]_7_[0, 3, 7]","[7, 11, 2]_[2, 5, 9]"
0,"[2, 5, 9]","[6, 9, 0]","[2, 5, 9]",beet.son10-3.II,beet,-3.II,"[4, 1, 0.5]",0,Major,"[6, 9, 0]",2,"[0, 3, 7]","[0, 3, 7]_4_[0, 3, 6]","[2, 5, 9]_[6, 9, 0]"
1,"[6, 9, 0]","[7, 11, 2]","[6, 9, 0]",beet.son10-3.II,beet,-3.II,"[4, 1, 0.5]",0,Major,"[7, 11, 2]",6,"[0, 3, 6]","[0, 3, 6]_1_[0, 4, 7]","[6, 9, 0]_[7, 11, 2]"
2,"[7, 11, 2]","[0, 4, 7]","[7, 11, 2]",beet.son10-3.II,beet,-3.II,"[4, 1, 0.5]",0,Major,"[0, 4, 7]",7,"[0, 4, 7]","[0, 4, 7]_5_[0, 4, 7]","[7, 11, 2]_[0, 4, 7]"
3,"[0, 4, 7]","[2, 5, 9]","[0, 4, 7]",beet.son10-3.II,beet,-3.II,"[4, 1, 0.5]",0,Major,"[2, 5, 9]",0,"[0, 4, 7]","[0, 4, 7]_2_[0, 3, 7]","[0, 4, 7]_[2, 5, 9]"
4,"[2, 5, 9]","[7, 11, 2]","[2, 5, 9]",beet.son10-3.II,beet,-3.II,"[4, 1, 0.5]",0,Major,"[7, 11, 2]",2,"[0, 3, 7]","[0, 3, 7]_5_[0, 4, 7]","[2, 5, 9]_[7, 11, 2]"
5,"[7, 11, 2]","[0, 4, 7]","[7, 11, 2]",beet.son10-3.II,beet,-3.II,"[4, 1, 0.5]",0,Major,"[0, 4, 7]",7,"[0, 4, 7]","[0, 4, 7]_5_[0, 4, 7]","[7, 11, 2]_[0, 4, 7]"
6,"[0, 4, 7]","[9, 0, 4]","[0, 4, 7]",beet.son10-3.II,beet,-3.II,"[4, 1, 0.5]",0,Major,"[9, 0, 4]",0,"[0, 4, 7]","[0, 4, 7]_9_[0, 3, 7]","[0, 4, 7]_[9, 0, 4]"
7,"[9, 0, 4]","[2, 5, 9]","[9, 0, 4]",beet.son10-3.II,beet,-3.II,"[4, 1, 0.5]",0,Major,"[2, 5, 9]",9,"[0, 3, 7]","[0, 3, 7]_5_[0, 3, 7]","[9, 0, 4]_[2, 5, 9]"
8,"[2, 5, 9]","[7, 11, 2]","[2, 5, 9]",beet.son10-3.II,beet,-3.II,"[4, 1, 0.5]",0,Major,"[7, 11, 2]",2,"[0, 3, 7]","[0, 3, 7]_5_[0, 4, 7]","[2, 5, 9]_[7, 11, 2]"
9,"[7, 11, 2]","[0, 4, 7]","[7, 11, 2]",beet.son10-3.II,beet,-3.II,"[4, 1, 0.5]",0,Major,"[0, 4, 7]",7,"[0, 4, 7]","[0, 4, 7]_5_[0, 4, 7]","[7, 11, 2]_[0, 4, 7]"
10,"[0, 4, 7]",x,"[0, 4, 7]",beet.son10-3.II,beet,-3.II,"[4, 1, 0.5]",0,Major,x,0,"[0, 4, 7]","[0, 4, 7]_0_[0, 4, 7]","[0, 4, 7]_[0, 4, 7]"
0,"[0, 4, 7]","[7, 11, 2]","[0, 4, 7]",beet.son13.II,beet,13.II,"[4, 1, 0.5]",0,Major,"[7, 11, 2]",0,"[0, 4, 7]","[0, 4, 7]_7_[0, 4, 7]","[0, 4, 7]_[7, 11, 2]"
1,"[7, 11, 2]","[0, 4, 7]","[7, 11, 2]",beet.son13.II,beet,13.II,"[4, 1, 0.5]",0,Major,"[0, 4, 7]",7,"[0, 4, 7]","[0, 4, 7]_5_[0, 4, 7]","[7, 11, 2]_[0, 4, 7]"
2,"[0, 4, 7]","[7, 11, 2]","[0, 4, 7]",beet.son13.II,beet,13.II,"[4, 1, 0.5]",0,Major,"[7, 11, 2]",0,"[0, 4, 7]","[0, 4, 7]_7_[0, 4, 7]","[0, 4, 7]_[7, 11, 2]"
3,"[7, 11, 2]","[0, 4, 7]","[7, 11, 2]",beet.son13.II,beet,13.II,"[4, 1, 0.5]",0,Major,"[0, 4, 7]",7,"[0, 4, 7]","[0, 4, 7]_5_[0, 4, 7]","[7, 11, 2]_[0, 4, 7]"
4,"[0, 4, 7]","[7, 11, 2]","[0, 4, 7]",beet.son13.II,beet,13.II,"[4, 1, 0.5]",0,Major,"[7, 11, 2]",0,"[0, 4, 7]","[0, 4, 7]_7_[0, 4, 7]","[0, 4, 7]_[7, 11, 2]"
5,"[7, 11, 2]","[9, 0, 4]","[7, 11, 2]",beet.son13.II,beet,13.II,"[4, 1, 0.5]",0,Major,"[9, 0, 4]",7,"[0, 4, 7]","[0, 4, 7]_2_[0, 3, 7]","[7, 11, 2]_[9, 0, 4]"
6,"[9, 0, 4]","[2, 5, 9]","[9, 0, 4]",beet.son13.II,beet,13.II,"[4, 1, 0.5]",0,Major,"[2, 5, 9]",9,"[0, 3, 7]","[0, 3, 7]_5_[0, 3, 7]","[9, 0, 4]_[2, 5, 9]"
7,"[2, 5, 9]","[7, 11, 2]","[2, 5, 9]",beet.son13.II,beet,13.II,"[4, 1, 0.5]",0,Major,"[7, 11, 2]",2,"[0, 3, 7]","[0, 3, 7]_5_[0, 4, 7]","[2, 5, 9]_[7, 11, 2]"
8,"[7, 11, 2]","[11, 2, 5]","[7, 11, 2]",beet.son13.II,beet,13.II,"[4, 1, 0.5]",0,Major,"[11, 2, 5]",7,"[0, 4, 7]","[0, 4, 7]_4_[0, 3, 6]","[7, 11, 2]_[11, 2, 5]"
9,"[11, 2, 5]","[7, 11, 2]","[11, 2, 5]",beet.son13.II,beet,13.II,"[4, 1, 0.5]",0,Major,"[7, 11, 2]",11,"[0, 3, 6]","[0, 3, 6]_8_[0, 4, 7]","[11, 2, 5]_[7, 11, 2]"
10,"[7, 11, 2]","[0, 4, 7]","[7, 11, 2]",beet.son13.II,beet,13.II,"[4, 1, 0.5]",0,Major,"[0, 4, 7]",7,"[0, 4, 7]","[0, 4, 7]_5_[0, 4, 7]","[7, 11, 2]_[0, 4, 7]"
11,"[0, 4, 7]","[9, 0, 4]","[0, 4, 7]",beet.son13.II,beet,13.II,"[4, 1, 0.5]",0,Major,"[9, 0, 4]",0,"[0, 4, 7]","[0, 4, 7]_9_[0, 3, 7]","[0, 4, 7]_[9, 0, 4]"
12,"[9, 0, 4]","[2, 5, 9]","[9, 0, 4]",beet.son13.II,beet,13.II,"[4, 1, 0.5]",0,Major,"[2, 5, 9]",9,"[0, 3, 7]","[0, 3, 7]_5_[0, 3, 7]","[9, 0, 4]_[2, 5, 9]"
13,"[2, 5, 9]","[7, 11, 2]","[2, 5, 9]",beet.son13.II,beet,13.II,"[4, 1, 0.5]",0,Major,"[7, 11, 2]",2,"[0, 3, 7]","[0, 3, 7]_5_[0, 4, 7]","[2, 5, 9]_[7, 11, 2]"
14,"[7, 11, 2]","[0, 4, 7]","[7, 11, 2]",beet.son13.II,beet,13.II,"[4, 1, 0.5]",0,Major,"[0, 4, 7]",7,"[0, 4, 7]","[0, 4, 7]_5_[0, 4, 7]","[7, 11, 2]_[0, 4, 7]"
15,"[0, 4, 7]",x,"[0, 4, 7]",beet.son13.II,beet,13.II,"[4, 1, 0.5]",0,Major,x,0,"[0, 4, 7]","[0, 4, 7]_2_[0, 3, 7]","[0, 4, 7]_[2, 5, 9]"
0,"[2, 5, 9]","[7, 11, 2]","[2, 5, 9]",beet.son27-2.I,beet,7-2.I,"[4, 1, 0.5]",0,Major,"[7, 11, 2]",2,"[0, 3, 7]","[0, 3, 7]_5_[0, 4, 7]","[2, 5, 9]_[7, 11, 2]"
1,"[7, 11, 2]","[0, 4, 7]","[7, 11, 2]",beet.son27-2.I,beet,7-2.I,"[4, 1, 0.5]",0,Major,"[0, 4, 7]",7,"[0, 4, 7]","[0, 4, 7]_5_[0, 4, 7]","[7, 11, 2]_[0, 4, 7]"
2,"[0, 4, 7]",x,"[0, 4, 7]",beet.son27-2.I,beet,7-2.I,"[4, 1, 0.5]",0,Major,x,0,"[0, 4, 7]","[0, 4, 7]_0_[0, 4, 7]","[0, 4, 7]_[0, 4, 7]"
0,"[0, 4, 7]","[7, 11, 2]","[0, 4, 7]",beet.sq135.III,beet,5.III,"[4, 1, 0.5]",0,Major,"[7, 11, 2]",0,"[0, 4, 7]","[0, 4, 7]_7_[0, 4, 7]","[0, 4, 7]_[7, 11, 2]"
1,"[7, 11, 2]","[0, 4, 7]","[7, 11, 2]",beet.sq135.III,beet,5.III,"[4, 1, 0.5]",0,Major,"[0, 4, 7]",7,"[0, 4, 7]","[0, 4, 7]_5_[0, 4, 7]","[7, 11, 2]_[0, 4, 7]"
2,"[0, 4, 7]","[7, 11, 2]","[0, 4, 7]",beet.sq135.III,beet,5.III,"[4, 1, 0.5]",0,Major,"[7, 11, 2]",0,"[0, 4, 7]","[0, 4, 7]_7_[0, 4, 7]","[0, 4, 7]_[7, 11, 2]"
3,"[7, 11, 2]","[0, 4, 7]","[7, 11, 2]",beet.sq135.III,beet,5.III,"[4, 1, 0.5]",0,Major,"[0, 4, 7]",7,"[0, 4, 7]","[0, 4, 7]_5_[0, 4, 7]","[7, 11, 2]_[0, 4, 7]"
4,"[0, 4, 7]","[7, 11, 2]","[0, 4, 7]",beet.sq135.III,beet,5.III,"[4, 1, 0.5]",0,Major,"[7, 11, 2]",0,"[0, 4, 7]","[0, 4, 7]_7_[0, 4, 7]","[0, 4, 7]_[7, 11, 2]"
5,"[7, 11, 2]","[0, 4, 7]","[7, 11, 2]",beet.sq135.III,beet,5.III,"[4, 1, 0.5]",0,Major,"[0, 4, 7]",7,"[0, 4, 7]","[0, 4, 7]_5_[0, 4, 7]","[7, 11, 2]_[0, 4, 7]"
6,"[0, 4, 7]","[7, 11, 2]","[0, 4, 7]",beet.sq135.III,beet,5.III,"[4, 1, 0.5]",0,Major,"[7, 11, 2]",0,"[0, 4, 7]","[0, 4, 7]_7_[0, 4, 7]","[0, 4, 7]_[7, 11, 2]"
7,"[7, 11, 2]","[2, 5, 9]","[7, 11, 2]",beet.sq135.III,beet,5.III,"[4, 1, 0.5]",0,Major,"[2, 5, 9]",7,"[0, 4, 7]","[0, 4, 7]_7_[0, 3, 7]","[7, 11, 2]_[2, 5, 9]"
8,"[2, 5, 9]","[4, 7, 11]","[2, 5, 9]",beet.sq135.III,beet,5.III,"[4, 1, 0.5]",0,Major,"[4, 7, 11]",2,"[0, 3, 7]","[0, 3, 7]_2_[0, 3, 7]","[2, 5, 9]_[4, 7, 11]"
9,"[4, 7, 11]","[9, 0, 4]","[4, 7, 11]",beet.sq135.III,beet,5.III,"[4, 1, 0.5]",0,Major,"[9, 0, 4]",4,"[0, 3, 7]","[0, 3, 7]_5_[0, 3, 7]","[4, 7, 11]_[9, 0, 4]"
10,"[9, 0, 4]","[2, 5, 9]","[9, 0, 4]",beet.sq135.III,beet,5.III,"[4, 1, 0.5]",0,Major,"[2, 5, 9]",9,"[0, 3, 7]","[0, 3, 7]_5_[0, 3, 7]","[9, 0, 4]_[2, 5, 9]"
11,"[2, 5, 9]","[7, 11, 2]","[2, 5, 9]",beet.sq135.III,beet,5.III,"[4, 1, 0.5]",0,Major,"[7, 11, 2]",2,"[0, 3, 7]","[0, 3, 7]_5_[0, 4, 7]","[2, 5, 9]_[7, 11, 2]"
12,"[7, 11, 2]","[0, 4, 7]","[7, 11, 2]",beet.sq135.III,beet,5.III,"[4, 1, 0.5]",0,Major,"[0, 4, 7]",7,"[0, 4, 7]","[0, 4, 7]_5_[0, 4, 7]","[7, 11, 2]_[0, 4, 7]"
13,"[0, 4, 7]","[7, 11, 2]","[0, 4, 7]",beet.sq135.III,beet,5.III,"[4, 1, 0.5]",0,Major,"[7, 11, 2]",0,"[0, 4, 7]","[0, 4, 7]_7_[0, 4, 7]","[0, 4, 7]_[7, 11, 2]"
14,"[7, 11, 2]","[0, 4, 7]","[7, 11, 2]",beet.sq135.III,beet,5.III,"[4, 1, 0.5]",0,Major,"[0, 4, 7]",7,"[0, 4, 7]","[0, 4, 7]_5_[0, 4, 7]","[7, 11, 2]_[0, 4, 7]"
15,"[0, 4, 7]",x,"[0, 4, 7]",beet.sq135.III,beet,5.III,"[4, 1, 0.5]",0,Major,x,0,"[0, 4, 7]","[0, 4, 7]_0_[0, 4, 7]","[0, 4, 7]_[0, 4, 7]"
0,"[0, 4, 7]","[9, 0, 4]","[0, 4, 7]",beet.strio,beet,strio,"[4, 1, 0.5]",0,Major,"[9, 0, 4]",0,"[0, 4, 7]","[0, 4, 7]_9_[0, 3, 7]","[0, 4, 7]_[9, 0, 4]"
1,"[9, 0, 4]","[2, 5, 9]","[9, 0, 4]",beet.strio,beet,strio,"[4, 1, 0.5]",0,Major,"[2, 5, 9]",9,"[0, 3, 7]","[0, 3, 7]_5_[0, 3, 7]","[9, 0, 4]_[2, 5, 9]"
2,"[2, 5, 9]","[9, 0, 4]","[2, 5, 9]",beet.strio,beet,strio,"[4, 1, 0.5]",0,Major,"[9, 0, 4]",2,"[0, 3, 7]","[0, 3, 7]_7_[0, 3, 7]","[2, 5, 9]_[9, 0, 4]"
3,"[9, 0, 4]","[2, 5, 9]","[9, 0, 4]",beet.strio,beet,strio,"[4, 1, 0.5]",0,Major,"[2, 5, 9]",9,"[0, 3, 7]","[0, 3, 7]_5_[0, 3, 7]","[9, 0, 4]_[2, 5, 9]"
4,"[2, 5, 9]","[7, 11, 2]","[2, 5, 9]",beet.strio,beet,strio,"[4, 1, 0.5]",0,Major,"[7, 11, 2]",2,"[0, 3, 7]","[0, 3, 7]_5_[0, 4, 7]","[2, 5, 9]_[7, 11, 2]"
5,"[7, 11, 2]","[0, 4, 7]","[7, 11, 2]",beet.strio,beet,strio,"[4, 1, 0.5]",0,Major,"[0, 4, 7]",7,"[0, 4, 7]","[0, 4, 7]_5_[0, 4, 7]","[7, 11, 2]_[0, 4, 7]"
6,"[0, 4, 7]","[7, 11, 2]","[0, 4, 7]",beet.strio,beet,strio,"[4, 1, 0.5]",0,Major,"[7, 11, 2]",0,"[0, 4, 7]","[0, 4, 7]_7_[0, 4, 7]","[0, 4, 7]_[7, 11, 2]"
7,"[7, 11, 2]","[0, 4, 7]","[7, 11, 2]",beet.strio,beet,strio,"[4, 1, 0.5]",0,Major,"[0, 4, 7]",7,"[0, 4, 7]","[0, 4, 7]_5_[0, 4, 7]","[7, 11, 2]_[0, 4, 7]"
8,"[0, 4, 7]","[9, 0, 4]","[0, 4, 7]",beet.strio,beet,strio,"[4, 1, 0.5]",0,Major,"[9, 0, 4]",0,"[0, 4, 7]","[0, 4, 7]_9_[0, 3, 7]","[0, 4, 7]_[9, 0, 4]"
9,"[9, 0, 4]","[4, 7, 11]","[9, 0, 4]",beet.strio,beet,strio,"[4, 1, 0.5]",0,Major,"[4, 7, 11]",9,"[0, 3, 7]","[0, 3, 7]_7_[0, 3, 7]","[9, 0, 4]_[4, 7, 11]"
10,"[4, 7, 11]","[9, 0, 4]","[4, 7, 11]",beet.strio,beet,strio,"[4, 1, 0.5]",0,Major,"[9, 0, 4]",4,"[0, 3, 7]","[0, 3, 7]_5_[0, 3, 7]","[4, 7, 11]_[9, 0, 4]"
11,"[9, 0, 4]","[2, 5, 9]","[9, 0, 4]",beet.strio,beet,strio,"[4, 1, 0.5]",0,Major,"[2, 5, 9]",9,"[0, 3, 7]","[0, 3, 7]_5_[0, 3, 7]","[9, 0, 4]_[2, 5, 9]"
12,"[2, 5, 9]","[7, 11, 2]","[2, 5, 9]",beet.strio,beet,strio,"[4, 1, 0.5]",0,Major,"[7, 11, 2]",2,"[0, 3, 7]","[0, 3, 7]_5_[0, 4, 7]","[2, 5, 9]_[7, 11, 2]"
13,"[7, 11, 2]","[2, 5, 9]","[7, 11, 2]",beet.strio,beet,strio,"[4, 1, 0.5]",0,Major,"[2, 5, 9]",7,"[0, 4, 7]","[0, 4, 7]_7_[0, 3, 7]","[7, 11, 2]_[2, 5, 9]"
14,"[2, 5, 9]","[7, 11, 2]","[2, 5, 9]",beet.strio,beet,strio,"[4, 1, 0.5]",0,Major,"[7, 11, 2]",2,"[0, 3, 7]","[0, 3, 7]_5_[0, 4, 7]","[2, 5, 9]_[7, 11, 2]"
15,"[7, 11, 2]","[0, 4, 7]","[7, 11, 2]",beet.strio,beet,strio,"[4, 1, 0.5]",0,Major,"[0, 4, 7]",7,"[0, 4, 7]","[0, 4, 7]_5_[0, 4, 7]","[7, 11, 2]_[0, 4, 7]"
16,"[0, 4, 7]","[3, 7, 10]","[0, 4, 7]",beet.strio,beet,strio,"[4, 1, 0.5]",0,Major,"[3, 7, 10]",0,"[0, 4, 7]","[0, 4, 7]_3_[0, 4, 7]","[0, 4, 7]_[3, 7, 10]"
17,"[3, 7, 10]","[8, 0, 3]","[3, 7, 10]",beet.strio,beet,strio,"[4, 1, 0.5]",0,Major,"[8, 0, 3]",3,"[0, 4, 7]","[0, 4, 7]_5_[0, 4, 7]","[3, 7, 10]_[8, 0, 3]"
18,"[8, 0, 3]","[0, 1, 2]","[8, 0, 3]",beet.strio,beet,strio,"[4, 1, 0.5]",0,Major,"[0, 1, 2]",8,"[0, 4, 7]","[0, 4, 7]_4_[0, 1, 2]","[8, 0, 3]_[0, 1, 2]"
19,"[0, 1, 2]","[7, 11, 2]","[0, 1, 2]",beet.strio,beet,strio,"[4, 1, 0.5]",0,Major,"[7, 11, 2]",0,"[0, 1, 2]","[0, 1, 2]_7_[0, 4, 7]","[0, 1, 2]_[7, 11, 2]"
20,"[7, 11, 2]","[0, 4, 7]","[7, 11, 2]",beet.strio,beet,strio,"[4, 1, 0.5]",0,Major,"[0, 4, 7]",7,"[0, 4, 7]","[0, 4, 7]_5_[0, 4, 7]","[7, 11, 2]_[0, 4, 7]"
21,"[0, 4, 7]","[9, 0, 4]","[0, 4, 7]",beet.strio,beet,strio,"[4, 1, 0.5]",0,Major,"[9, 0, 4]",0,"[0, 4, 7]","[0, 4, 7]_9_[0, 3, 7]","[0, 4, 7]_[9, 0, 4]"
22,"[9, 0, 4]","[2, 5, 9]","[9, 0, 4]",beet.strio,beet,strio,"[4, 1, 0.5]",0,Major,"[2, 5, 9]",9,"[0, 3, 7]","[0, 3, 7]_5_[0, 3, 7]","[9, 0, 4]_[2, 5, 9]"
23,"[2, 5, 9]","[9, 0, 4]","[2, 5, 9]",beet.strio,beet,strio,"[4, 1, 0.5]",0,Major,"[9, 0, 4]",2,"[0, 3, 7]","[0, 3, 7]_7_[0, 3, 7]","[2, 5, 9]_[9, 0, 4]"
24,"[9, 0, 4]","[2, 5, 9]","[9, 0, 4]",beet.strio,beet,strio,"[4, 1, 0.5]",0,Major,"[2, 5, 9]",9,"[0, 3, 7]","[0, 3, 7]_5_[0, 3, 7]","[9, 0, 4]_[2, 5, 9]"
25,"[2, 5, 9]","[7, 11, 2]","[2, 5, 9]",beet.strio,beet,strio,"[4, 1, 0.5]",0,Major,"[7, 11, 2]",2,"[0, 3, 7]","[0, 3, 7]_5_[0, 4, 7]","[2, 5, 9]_[7, 11, 2]"
26,"[7, 11, 2]","[0, 4, 7]","[7, 11, 2]",beet.strio,beet,strio,"[4, 1, 0.5]",0,Major,"[0, 4, 7]",7,"[0, 4, 7]","[0, 4, 7]_5_[0, 4, 7]","[7, 11, 2]_[0, 4, 7]"
27,"[0, 4, 7]","[7, 11, 2]","[0, 4, 7]",beet.strio,beet,strio,"[4, 1, 0.5]",0,Major,"[7, 11, 2]",0,"[0, 4, 7]","[0, 4, 7]_7_[0, 4, 7]","[0, 4, 7]_[7, 11, 2]"
28,"[7, 11, 2]","[0, 4, 7]","[7, 11, 2]",beet.strio,beet,strio,"[4, 1, 0.5]",0,Major,"[0, 4, 7]",7,"[0, 4, 7]","[0, 4, 7]_5_[0, 4, 7]","[7, 11, 2]_[0, 4, 7]"
29,"[0, 4, 7]","[2, 5, 9]","[0, 4, 7]",beet.strio,beet,strio,"[4, 1, 0.5]",0,Major,"[2, 5, 9]",0,"[0, 4, 7]","[0, 4, 7]_2_[0, 3, 7]","[0, 4, 7]_[2, 5, 9]"
30,"[2, 5, 9]","[7, 11, 2]","[2, 5, 9]",beet.strio,beet,strio,"[4, 1, 0.5]",0,Major,"[7, 11, 2]",2,"[0, 3, 7]","[0, 3, 7]_5_[0, 4, 7]","[2, 5, 9]_[7, 11, 2]"
31,"[7, 11, 2]","[8, 0, 3]","[7, 11, 2]",beet.strio,beet,strio,"[4, 1, 0.5]",0,Major,"[8, 0, 3]",7,"[0, 4, 7]","[0, 4, 7]_1_[0, 4, 7]","[7, 11, 2]_[8, 0, 3]"
32,"[8, 0, 3]","[9, 0, 4]","[8, 0, 3]",beet.strio,beet,strio,"[4, 1, 0.5]",0,Major,"[9, 0, 4]",8,"[0, 4, 7]","[0, 4, 7]_1_[0, 3, 7]","[8, 0, 3]_[9, 0, 4]"
33,"[9, 0, 4]","[2, 5, 9]","[9, 0, 4]",beet.strio,beet,strio,"[4, 1, 0.5]",0,Major,"[2, 5, 9]",9,"[0, 3, 7]","[0, 3, 7]_5_[0, 3, 7]","[9, 0, 4]_[2, 5, 9]"
34,"[2, 5, 9]","[7, 11, 2]","[2, 5, 9]",beet.strio,beet,strio,"[4, 1, 0.5]",0,Major,"[7, 11, 2]",2,"[0, 3, 7]","[0, 3, 7]_5_[0, 4, 7]","[2, 5, 9]_[7, 11, 2]"
35,"[7, 11, 2]","[0, 4, 7]","[7, 11, 2]",beet.strio,beet,strio,"[4, 1, 0.5]",0,Major,"[0, 4, 7]",7,"[0, 4, 7]","[0, 4, 7]_5_[0, 4, 7]","[7, 11, 2]_[0, 4, 7]"
36,"[0, 4, 7]",x,"[0, 4, 7]",beet.strio,beet,strio,"[4, 1, 0.5]",0,Major,x,0,"[0, 4, 7]","[0, 4, 7]_0_[0, 4, 7]","[0, 4, 7]_[0, 4, 7]"
0,"[0, 4, 7]","[9, 0, 4]","[0, 4, 7]",brahms.undgehst,brahms,ndgehst,"[4, 1, 0.5]",0,Major,"[9, 0, 4]",0,"[0, 4, 7]","[0, 4, 7]_9_[0, 3, 7]","[0, 4, 7]_[9, 0, 4]"
1,"[9, 0, 4]","[5, 9, 0]","[9, 0, 4]",brahms.undgehst,brahms,ndgehst,"[4, 1, 0.5]",0,Major,"[5, 9, 0]",9,"[0, 3, 7]","[0, 3, 7]_8_[0, 4, 7]","[9, 0, 4]_[5, 9, 0]"
2,"[5, 9, 0]","[7, 11, 2]","[5, 9, 0]",brahms.undgehst,brahms,ndgehst,"[4, 1, 0.5]",0,Major,"[7, 11, 2]",5,"[0, 4, 7]","[0, 4, 7]_2_[0, 4, 7]","[5, 9, 0]_[7, 11, 2]"
3,"[7, 11, 2]","[0, 4, 7]","[7, 11, 2]",brahms.undgehst,brahms,ndgehst,"[4, 1, 0.5]",0,Major,"[0, 4, 7]",7,"[0, 4, 7]","[0, 4, 7]_5_[0, 4, 7]","[7, 11, 2]_[0, 4, 7]"
4,"[0, 4, 7]","[5, 9, 0]","[0, 4, 7]",brahms.undgehst,brahms,ndgehst,"[4, 1, 0.5]",0,Major,"[5, 9, 0]",0,"[0, 4, 7]","[0, 4, 7]_5_[0, 4, 7]","[0, 4, 7]_[5, 9, 0]"
5,"[5, 9, 0]","[7, 11, 2]","[5, 9, 0]",brahms.undgehst,brahms,ndgehst,"[4, 1, 0.5]",0,Major,"[7, 11, 2]",5,"[0, 4, 7]","[0, 4, 7]_2_[0, 4, 7]","[5, 9, 0]_[7, 11, 2]"
6,"[7, 11, 2]","[8, 0, 3]","[7, 11, 2]",brahms.undgehst,brahms,ndgehst,"[4, 1, 0.5]",0,Major,"[8, 0, 3]",7,"[0, 4, 7]","[0, 4, 7]_1_[0, 4, 7]","[7, 11, 2]_[8, 0, 3]"
7,"[8, 0, 3]","[9, 0, 4]","[8, 0, 3]",brahms.undgehst,brahms,ndgehst,"[4, 1, 0.5]",0,Major,"[9, 0, 4]",8,"[0, 4, 7]","[0, 4, 7]_1_[0, 3, 7]","[8, 0, 3]_[9, 0, 4]"
8,"[9, 0, 4]","[6, 9, 0]","[9, 0, 4]",brahms.undgehst,brahms,ndgehst,"[4, 1, 0.5]",0,Major,"[6, 9, 0]",9,"[0, 3, 7]","[0, 3, 7]_9_[0, 3, 6]","[9, 0, 4]_[6, 9, 0]"
